stage,metric,value
load,duration_sec,618.268
load,areas_rows,30
load,competitions_rows,30
load,teams_rows,16500
load,matches_rows,125400
load,standings_rows,16500
validation_E,gx_sec,17.727
validation_E,gx_sec_std,0.601
validation_E,gx_cpu,0.133
validation_E,gx_cpu_std,0.047
validation_E,gx_ram_kb,261540.0
validation_E,gx_ram_kb_std,5.657
validation_E,gx_checks,15
validation_E,gx_failed,1
validation_E,gx_repeats,3
validation_E,soda_sec,7.81
validation_E,soda_sec_std,0.142
validation_E,soda_cpu,0.1
validation_E,soda_cpu_std,0.0
validation_E,soda_ram_kb,261550.667
validation_E,soda_ram_kb_std,1.886
validation_E,soda_checks,7
validation_E,soda_failed,0
validation_E,soda_repeats,3
validation_E,deequ_sec,18.177
validation_E,deequ_sec_std,0.079
validation_E,deequ_cpu,0.167
validation_E,deequ_cpu_std,0.047
validation_E,deequ_ram_kb,261557.333
validation_E,deequ_ram_kb_std,2.494
validation_E,deequ_checks,17
validation_E,deequ_failed,1
validation_E,deequ_repeats,3
validation_T,gx_sec,26.914
validation_T,gx_sec_std,0.051
validation_T,gx_cpu,0.1
validation_T,gx_cpu_std,0.0
validation_T,gx_ram_kb,261561.333
validation_T,gx_ram_kb_std,1.886
validation_T,gx_checks,19
validation_T,gx_failed,2
validation_T,gx_repeats,3
validation_T,soda_sec,12.489
validation_T,soda_sec_std,0.224
validation_T,soda_cpu,0.1
validation_T,soda_cpu_std,0.0
validation_T,soda_ram_kb,261568.0
validation_T,soda_ram_kb_std,0.0
validation_T,soda_checks,5
validation_T,soda_failed,0
validation_T,soda_repeats,3
validation_T,sql_sec,15.776
validation_T,sql_sec_std,0.226
validation_T,sql_cpu,0.1
validation_T,sql_cpu_std,0.0
validation_T,sql_ram_kb,261568.0
validation_T,sql_ram_kb_std,0.0
validation_T,sql_checks,7
validation_T,sql_failed,1
validation_T,sql_repeats,3
validation_T,deequ_sec,18.783
validation_T,deequ_sec_std,0.314
validation_T,deequ_cpu,0.1
validation_T,deequ_cpu_std,0.0
validation_T,deequ_ram_kb,261568.667
validation_T,deequ_ram_kb_std,0.943
validation_T,deequ_checks,10
validation_T,deequ_failed,1
validation_T,deequ_repeats,3
validation_L,gx_sec,4.958
validation_L,gx_sec_std,0.205
validation_L,gx_cpu,0.067
validation_L,gx_cpu_std,0.094
validation_L,gx_ram_kb,261572.0
validation_L,gx_ram_kb_std,0.0
validation_L,gx_checks,3
validation_L,gx_failed,0
validation_L,gx_repeats,3
validation_L,soda_sec,4.83
validation_L,soda_sec_std,0.109
validation_L,soda_cpu,0.133
validation_L,soda_cpu_std,0.189
validation_L,soda_ram_kb,261572.667
validation_L,soda_ram_kb_std,0.943
validation_L,soda_checks,3
validation_L,soda_failed,0
validation_L,soda_repeats,3
validation_L,deequ_sec,8.114
validation_L,deequ_sec_std,0.3
validation_L,deequ_cpu,0.067
validation_L,deequ_cpu_std,0.047
validation_L,deequ_ram_kb,261576.0
validation_L,deequ_ram_kb_std,0.0
validation_L,deequ_checks,5
validation_L,deequ_failed,0
validation_L,deequ_repeats,3
mutation_1_validation_E,gx_sec,0.98
mutation_1_validation_E,gx_sec_std,0.031
mutation_1_validation_E,gx_cpu,2.367
mutation_1_validation_E,gx_cpu_std,0.896
mutation_1_validation_E,gx_ram_kb,290702.667
mutation_1_validation_E,gx_ram_kb_std,241.359
mutation_1_validation_E,gx_checks,15
mutation_1_validation_E,gx_failed,5
mutation_1_validation_E,gx_repeats,3
mutation_1_validation_E,soda_sec,0.478
mutation_1_validation_E,soda_sec_std,0.051
mutation_1_validation_E,soda_cpu,2.633
mutation_1_validation_E,soda_cpu_std,1.873
mutation_1_validation_E,soda_ram_kb,290532.0
mutation_1_validation_E,soda_ram_kb_std,0.0
mutation_1_validation_E,soda_checks,7
mutation_1_validation_E,soda_failed,2
mutation_1_validation_E,soda_repeats,3
mutation_1_validation_E,deequ_sec,0.888
mutation_1_validation_E,deequ_sec_std,0.053
mutation_1_validation_E,deequ_cpu,2.267
mutation_1_validation_E,deequ_cpu_std,0.125
mutation_1_validation_E,deequ_ram_kb,288825.333
mutation_1_validation_E,deequ_ram_kb_std,482.718
mutation_1_validation_E,deequ_checks,17
mutation_1_validation_E,deequ_failed,5
mutation_1_validation_E,deequ_repeats,3
mutation_1_validation_T,gx_sec,1.194
mutation_1_validation_T,gx_sec_std,0.191
mutation_1_validation_T,gx_cpu,2.267
mutation_1_validation_T,gx_cpu_std,0.45
mutation_1_validation_T,gx_ram_kb,287630.667
mutation_1_validation_T,gx_ram_kb_std,241.359
mutation_1_validation_T,gx_checks,19
mutation_1_validation_T,gx_failed,6
mutation_1_validation_T,gx_repeats,3
mutation_1_validation_T,soda_sec,0.59
mutation_1_validation_T,soda_sec_std,0.091
mutation_1_validation_T,soda_cpu,1.133
mutation_1_validation_T,soda_cpu_std,1.603
mutation_1_validation_T,soda_ram_kb,287460.0
mutation_1_validation_T,soda_ram_kb_std,0.0
mutation_1_validation_T,soda_checks,5
mutation_1_validation_T,soda_failed,3
mutation_1_validation_T,soda_repeats,3
mutation_1_validation_T,sql_sec,0.592
mutation_1_validation_T,sql_sec_std,0.033
mutation_1_validation_T,sql_cpu,1.733
mutation_1_validation_T,sql_cpu_std,1.473
mutation_1_validation_T,sql_ram_kb,287460.0
mutation_1_validation_T,sql_ram_kb_std,0.0
mutation_1_validation_T,sql_checks,7
mutation_1_validation_T,sql_failed,5
mutation_1_validation_T,sql_repeats,3
mutation_1_validation_T,deequ_sec,0.607
mutation_1_validation_T,deequ_sec_std,0.047
mutation_1_validation_T,deequ_cpu,2.8
mutation_1_validation_T,deequ_cpu_std,0.927
