stage,metric,value
load,duration_sec,9.27
load,areas_rows,5
load,competitions_rows,3
load,teams_rows,48
load,matches_rows,228
load,standings_rows,48
validation_E,gx_sec,1.0
validation_E,gx_sec_std,0.209
validation_E,gx_cpu,1.69
validation_E,gx_cpu_std,0.655
validation_E,gx_ram_kb,260250.8
validation_E,gx_ram_kb_std,67.19
validation_E,gx_checks,15
validation_E,gx_failed,1
validation_E,gx_repeats,10
validation_E,soda_sec,0.36
validation_E,soda_sec_std,0.015
validation_E,soda_cpu,2.23
validation_E,soda_cpu_std,1.647
validation_E,soda_ram_kb,260290.8
validation_E,soda_ram_kb_std,2.561
validation_E,soda_checks,7
validation_E,soda_failed,0
validation_E,soda_repeats,10
validation_E,deequ_sec,0.822
validation_E,deequ_sec_std,0.045
validation_E,deequ_cpu,2.19
validation_E,deequ_cpu_std,0.72
validation_E,deequ_ram_kb,260314.0
validation_E,deequ_ram_kb_std,9.252
validation_E,deequ_checks,17
validation_E,deequ_failed,1
validation_E,deequ_repeats,10
validation_T,gx_sec,1.046
validation_T,gx_sec_std,0.064
validation_T,gx_cpu,1.81
validation_T,gx_cpu_std,0.63
validation_T,gx_ram_kb,260327.8
validation_T,gx_ram_kb_std,0.6
validation_T,gx_checks,19
validation_T,gx_failed,2
validation_T,gx_repeats,10
validation_T,soda_sec,0.383
validation_T,soda_sec_std,0.046
validation_T,soda_cpu,1.64
validation_T,soda_cpu_std,2.16
validation_T,soda_ram_kb,260328.0
validation_T,soda_ram_kb_std,0.0
validation_T,soda_checks,5
validation_T,soda_failed,0
validation_T,soda_repeats,10
validation_T,sql_sec,0.426
validation_T,sql_sec_std,0.02
validation_T,sql_cpu,1.66
validation_T,sql_cpu_std,1.895
validation_T,sql_ram_kb,260331.8
validation_T,sql_ram_kb_std,0.6
validation_T,sql_checks,7
validation_T,sql_failed,1
validation_T,sql_repeats,10
validation_T,deequ_sec,0.586
validation_T,deequ_sec_std,0.021
validation_T,deequ_cpu,1.71
validation_T,deequ_cpu_std,0.762
validation_T,deequ_ram_kb,260332.0
validation_T,deequ_ram_kb_std,0.0
validation_T,deequ_checks,10
validation_T,deequ_failed,1
validation_T,deequ_repeats,10
validation_L,gx_sec,0.171
validation_L,gx_sec_std,0.023
validation_L,gx_cpu,1.81
validation_L,gx_cpu_std,2.776
validation_L,gx_ram_kb,260334.2
validation_L,gx_ram_kb_std,1.887
validation_L,gx_checks,3
validation_L,gx_failed,0
validation_L,gx_repeats,10
validation_L,soda_sec,0.159
validation_L,soda_sec_std,0.013
